"robot","total_load2bot","total_time_before","total_time_load2tr"
1,"39:32:03","287:03:05","39:32:03"
2,"39:32:03","366:19:25","39:32:03"
3,"39:32:03","450:31:25","39:32:03"
4,"39:32:03","548:44:21","39:32:03"
5,"39:32:03","659:35:32","39:32:03"
6,"39:32:03","772:48:35","39:32:03"
7,"39:32:03","906:31:18","39:32:03"
8,"39:32:03","1051:13:21","39:32:03"
9,"39:32:03","1242:16:48","39:32:03"
10,"39:32:03","1393:02:09","39:32:03"
11,"39:32:03","1551:13:27","39:32:03"
12,"39:32:03","1661:07:49","39:32:03"
13,"39:32:03","1794:12:24","39:32:03"
14,"39:32:03","1925:46:56","39:32:03"
15,"39:32:03","2063:03:04","39:32:03"
16,"39:32:03","2197:48:35","39:32:03"
