"sku","length","width","height","strength","aisle","caustic"
600591,463,303,115,4,7,
600594,462,303,115,4,7,
600595,457,302,115,4,7,
600598,455,303,115,4,7,
601032,464,301,115,4,7,
601468,356,213,175,3,7,
601472,290,252,224,3,7,
601571,462,304,115,4,6,
601695,329,246,123,4,6,
603416,307,229,115,4,6,
603417,309,232,121,4,6,
603418,309,227,113,4,6,
603419,311,230,116,4,6,
603588,327,245,122,4,7,
608864,412,308,120,4,6,
661298,412,309,122,4,6,
699704,297,220,208,3,10,
699960,457,260,203,4,6,
699989,293,187,285,4,6,
700022,307,233,121,4,6,
700026,326,238,160,4,6,
700033,298,216,124,4,6,
700125,414,273,80,4,7,
700195,272,184,124,4,6,
700202,294,220,192,4,6,
700209,418,309,122,4,6,
700267,276,149,188,3,7,
700281,281,148,195,3,6,
700282,301,276,204,3,6,
700309,386,193,205,3,6,
700331,355,263,112,4,6,
700352,307,228,115,4,6,
700363,306,231,115,4,6,
700381,307,243,333,3,6,
700391,348,262,154,4,7,
700392,307,230,114,4,7,
700401,314,230,230,4,6,
700404,311,229,226,4,6,
700472,352,262,110,4,6,
700517,329,242,130,4,7,
700599,441,265,221,4,6,
700604,538,348,192,4,6,
700648,449,272,223,4,6,
700675,448,262,214,4,6,
700734,317,168,242,3,7,
700746,337,229,293,3,7,
700752,326,243,131,4,7,
700771,323,238,130,4,7,
700781,285,207,172,4,6,
700831,302,203,190,2,6,
700859,331,250,107,3,6,
700885,285,215,228,4,6,
700936,289,211,168,4,6,
700976,307,230,112,4,7,
700986,350,260,109,4,6,
701058,365,316,260,3,6,
701080,305,227,117,4,6,
701081,309,228,117,4,6,
701082,414,310,121,4,6,
701146,414,308,121,4,6,
701172,356,262,158,4,6,
701193,203,192,179,3,6,
701238,409,308,122,4,6,
701419,412,274,78,4,7,
701421,413,270,76,4,7,
701423,309,166,67,4,7,
701615,351,264,103,4,7,
701616,323,239,160,4,6,
701630,414,309,121,4,6,
701705,409,308,118,4,6,
701707,412,307,121,4,6,
701728,507,207,199,3,6,
701857,316,256,210,2,6,
701909,308,228,113,4,6,
702100,420,308,123,4,6,
702239,274,211,85,4,6,
702241,385,256,69,4,7,
702245,301,233,123,4,6,
702261,309,238,127,4,6,
702392,548,400,220,4,6,
702525,245,171,90,3,7,
702589,353,261,101,3,6,
702794,351,260,164,4,6,
702918,410,305,120,4,6,
703075,410,308,120,4,6,
703081,412,309,121,4,6,
703171,417,307,121,4,6,
703205,388,254,220,4,6,
703207,384,254,222,4,6,
703267,276,211,60,3,6,
703269,386,254,67,4,7,
703307,381,185,172,3,6,
703315,349,261,148,4,6,
703334,307,231,113,4,6,
703336,305,229,114,4,6,
703338,303,230,115,4,6,
703340,292,216,133,4,6,
703342,288,217,133,4,6,
703430,291,215,132,4,6,
703437,440,328,178,4,7,
703438,301,231,175,4,6,
703446,291,215,133,4,6,
703461,286,217,133,4,6,
703671,306,132,175,3,6,
703673,301,128,178,3,6,
